name,bundleId,genre
Clarity,com.moodtools.thoughtdiary,1
HeavyBagPro,com.opentechiz.heavybagpro,1
Inshot,com.camerasideas.InstaShot,1
LogoMaker,com.contentarcade.LogoMaker,1
Monet,co.appnation.artgenerator,1
Moonly,com.moonly.Moonly,1
PdfExpert,com.readdle.PDFExpert5,1
Pedometer,com.crossforward.pedometer,1
PhotoEraser,LB-Software.PhotoEraser,1
PlanesLiveFree,com.apalonapps.planesfree,1
Stepsapp,com.gunthermarktl.stepapp,1
StoryFont,com.mfapp.storyFontEn,1
Thenics,com.innothenics.thenics,1
UnifiedDictionary,com.bravolol.bravoLang.chineseDictionary,1
VideoMusic,com.flyingnayeem.nmVideoMergerJune,1
Vsco,co.visualsupply.cam,1
Zing,com.coach.zing,1
Adguard,com.adguard.AdguardExtension,1
AlarmClockForMe,com.apalonapps.alarmclockfree,1
AlightMotion,com.alightcreative.motion,1
Audiomack,com.audiomack.iphone,1
Blossom,com.apalonapps.plants,1
CalculatorAir,com.CalculatorForiPad.InternetRocks,1
Calisteniapp,com.inakitajes.Calisthenial,1
ColoringBookForMe,com.apalonapps.clrbook,1
Converse,com.itranslate.itranslateone,1
DeviceMonitor.,org.fastdevsproject.altervista.Device-Monitor,1
DiscordBunny,com.hammerandchisel.discord,2
FocosLive,com.focoslive,1
Investing.com,com.investing.app,1
LiveWallpapersFree,com.apalonapps.livewallpapersfree,1
Mediaconvert,com.verycoolapp.mediaconvert,1
Mydietcoach,com.inspiredapp.mydietcoach,1
Ourpact,com.parentsware.ourpact,1
Pdfedit,com.apalonapps.pdfeditor,1
Phocus,com.ahmetserdarkaradeniz.Phocus,1
Productive,com.beHappy.Productive,1
ScannerForMe,com.apalonapps.pdffree,1
Shred,com.shred.shredlabs,1
Sleepzy,com.apalonapps.smartalarmfree,1
Sleep,com.bendingspoonsapps.SleepHelp,1
Slideshow,com.spacegab.slideshow,1
Snapcalc,com.apalonapps.cameracalculator,1
Speak.Translate,com.appicfun.translatorfree,1
Superplay,com.pastel.superplay,1
Unfold,com.moonlab.unfoldstories,1
Walli,com.stanga.projectKu,1
Wallpapers,com.apalonapps.wallpaperspys,1
Widgetsmith,com.crossforward.WidgetSmith,1
Window,tech.calstephens.Window,1
YogaWave,com.flyingnayeem.yoga,1
Infuse,com.firecore.infuse,1
Amie,so.amie.ios-app,1
Apollo,com.christianselig.Apollo,1
DiamondFinder,com.mcdiamondfinder.app,1
Evertag,com.leshko.tagseditor,1
Flightradar24,se.resenatverket.FlightRadar24-Free,1
KtbSecondKick,com.playgendary.ktbremaster,2
NbV59.197,nt.nb.ios,1
Radarbot,com.iteration-mobile.radarbot-free-ww,1
Tarteel,com.iqraapp.Iqra,1
Uplens,app.uplens,1
Vids,viral.vision.vids,1
Vlognow,com.frontrow.vlog,1
1998Cam,com.h3d2.1998cam,1
Fitnessai,com.jakemor.firness-ai,1
Lookup,in.muditbhargava.LookUp,1
Mondly,com.atistudios.MondlyLanguages,1
OrnetBrowser,ch.b-eng.tor,1
PilotPro,pilotpro,1
AdguardPro,com.adguard.AdguardPro,1
Benkyo,app.benkyo.Benkyo,1
CarScanner,ovz.Car-Scanner,1
Habitkit,com.roehl.habitkit,1
HappyScale,com.frontpocketsoftware.happyscale,1
HomeWorkouts,com.abishkking.maleworkout,1
Mw2,com.zillionwhales.mushroomwars2,2
Reface,com.neocortext.doublicatapp,1
Soundlab,com.castpeer.audioroom.ios,1
1blocker,com.khanov.BlockerX,1
BrainTest3,com.unicostudio.braintest3,2
Carrot,com.grailr.CARROTweather,1
Farmville2,com.zynga.FarmVille2CountryEscape,2
HearBoost,com.futuremoments.audiospy,1
Snapedit,com.sfun.snapedit,1
Survivor.io,com.dxx.firenow,2
Wolfram.alpha,com.wolframalpha.wolframalphaviewer,1
Bearable,co.codeleap.bearable,1
Dazz,dazz.camera.vintagecamera,1
FlexIptv,com.funlabsoft.iptv,1
Noteshelf3,com.fluidtouch.noteshelf3,1
Photomath,com.microblink.PhotoMath,1
Picsew,com.sugarmo.ScrollClip,1
Plantsnap,net.plantsnap.freemium,1
Scrl,com.dopedevelopment.Panels,1
Sigstick,com.ooeric.SignStick1,1
Threads,com.burbn.barcelona,1
Videoshow,com.enjoy.VideoShow,1
Autocad,com.autodesk.autocadws,1
BackgroundMusic,com.flyingnayeem.nmVideoMergerJune,1
Badoo,com.badoo.BadooSPP,1
Balance,com.elevateapp.kamino.kamino,1
Chani,com.chaninicholas.chaniapp,1
CodesnackIde,com.cloud-compiler,1
Compress,com.newmarketinglab.ImageCompressor,1
Eeveespotify,com.spotify.client,1
FindAir,co.airapps.finderbot,1
Flipclock,com.cuilingshi.flipclock,1
Fujixweekly,com.fujixweekly.fujixweeklyrecipes,1
Grec,com.igliverec.app,1
HelloAi,com.IpadWhatsapp.InternetRocks,1
InstagramRocket,com.burbn.instagram,1
LastDayOnEarth.Survival,zombie.survival.craft.z,2
NcV16.654.24,nt.nc.ios,1
Photoroom,com.dr1ven.eraser,1
Qrcode,com.internet-rocks.codescanner,1
RoyalMatch,com.dreamgames.royalmatch,2
Scoreboard,com.edwinchan.Scoreboard,1
Trace,com.morpholioapps.trace,1
VideoStar,com.frontierdesign.videostar,1
Duet,com.kairos.duet,1
F.b,com.vgfit.fitnessvip,1
Rungo,com.leapingcoyote.rungo,1
Discord,com.hammerandchisel.discord,2
WhatsApp_25.2.82_Watusi_OnlineNotify_Stalky,net.whatsapp.WhatsApp,1
Alfredcamera,com.kalavision.alfred,1
AlohaVpn,com.alohabrowser.vpn,1
CarParking,com.aidana.cardriving.ios,2
CmProCalc,com.calculated.laurene,1
Dehancer,com.dehancer.film.ios-app,1
InstagramRegram,com.burbn.instagram,1
Istb,com.na.istb,1
Lifesum,com.sillens.iShape,1
Lingodeer,com.lingodeer,1
Network,net.doublerew.NetworkUtilityPro,1
Noir,nl.jeffreykuiken.NoirApp,1
Procamera,com.cocologics.ProCamera,1
ScannerAir,co.airapps.scannerapp,1
SleepMonitor,com.sleepmonitor.aio,1
Things,com.culturedcode.ThingsiPad,1
Uben,com.ubenai.www.ios,1
WeedFirm2,com.bcanada.weedfirm2,2
,com.AppChief.ArabicArt,1
CodebySMS,com.codebysms,1
TikTok,com.zhiliaoapp.musically,1
Fitbod,com.fitbod,1
Gowod,eu.gowod,1
MoneyManagerExpense.Budget,com.realbyteapps.MoneyManager2,1
Nebo,com.myscript.nebo,1
Womenlose,com.leapfitness.womenlose,1
Reels,com.TetianaKolomiichuk.Reel-Templates,1
Anime,com.wallpapershub.anime,1
waBusiness,net.whatsapp.WhatsAppSMB,1
whatsapp,net.whatsapp.WhatsApp,1
,com.madarsoft.fitness,1
Overdrop,com.weather.overdrop,1
,com.madarsoft.fitness,1
Tachimanga,com.mangacrush.ios,1
,com.madarsoft.fitness,1
30DayFitness,com.vigorapps.30DayFitness,1
Life360,com.life360.safetymap,1
NbV60.420,nt.nb.ios,1
PhotoSplash,com.dsrtech.colorsplash,1
Stemz,com.mwm.stems,1
Unscripted,com.ibit.UNPOSED,1
,com.madarsoft.fitness,1
Osmosis,com.osmose-it.osmosis,1
Questionai,com.qianfan.aihomework,1
Shuteye,health.sleep.sounds.tracker.alarm.calm,1
Videocompress,com.photoclean.videocompress,1
Zoomable,com.actowise.browser,1
,com.madarsoft.fitness,1
IptvExpert,com.iptv.player,1
Photoshop,com.adobe.photoshop.ios,1
,com.AppChief.ArabicArt,1
,com.AppChief.ArabicArt,1
,com.AppChief.ArabicArt,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Calory,com.funnmedia.calory,1
Wordscapes,com.peoplefun.wordcross,2
,com.intsig.CamScannerLite,1
Whatsapp,net.whatsapp.WhatsApp,1
,com.intsig.CamScannerLite,1
NcV17.126.6,nt.nc.ios,1
Photosync,com.touchbyte.PhotoSync,1
Remini,com.bigwinepot.nwdn.international,1
Tiktok,com.zhiliaoapp.musically,1
WizardAi,com.oneMoreThing.AI-LivePainting,1
,com.intsig.CamScannerLite,1
SocialStats,com.innovativedigitaltechnologies.FollowersWidget,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
APTV,com.kimen.aptvpro,1
GALATEA,org.reactjs.native.Inkitt.App.Colt,1
,com.intsig.CamScannerLite,1
Textastic,com.textasticapp.textastic-universal,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Place,com.mobivalley.LookAroundApp,2
,com.intsig.CamScannerLite,1
superagent,com.agent.super.extension.safari,1
,com.intsig.CamScannerLite,1
YAZIO,com.yazio.ios.YAZIO,1
,com.intsig.CamScannerLite,1
PictureThis,cn.danatech.xingseus,1
,com.intsig.CamScannerLite,1
Coloring,com.apalonapps.clrbook,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Bunny,com.hammerandchisel.discord,2
,com.intsig.CamScannerLite,1
WaterMinder,com.waterminder.waterminder,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Gentler,app.gentler.activity,1
,com.intsig.CamScannerLite,1
StepsApp,com.gunthermarktl.stepapp,1
,com.intsig.CamScannerLite,1
Brick,com.puzzle1studio.ap.brickoutshoottheball,2
YouTube,com.google.ios.youtube,1
,com.intsig.CamScannerLite,1
PlantSnap,net.plantsnap.freemium,1
,com.intsig.CamScannerLite,1
MediaConvert,com.verycoolapp.mediaconvert,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
SlideShow,com.spacegab.slideshow,1
,com.intsig.CamScannerLite,1
CLIME,com.apalonapps.radarfree,1
,com.intsig.CamScannerLite,1
,com.madarsoft.fitness,1
Speak,com.appicfun.translatorfree,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Planes,com.apalonapps.planesfree,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Lampa,com.lampa.photo,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
ColoringBookforMe,com.apalonapps.clrbook,1
PlaceGuesser,com.mobivalley.LookAroundApp,2
PlanesLive,com.apalonapps.planesfree,1
YouTubeOLED,com.google.ios.youtube,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
ForeFlight,com.foreflight.ForeFlightMobile,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
StressWatch,com.ideation.Stress,1
,com.intsig.CamScannerLite,1
Video,com.videobrowser.ios,1
,com.intsig.CamScannerLite,1
EPIK,com.snowcorp.epik,1
,com.intsig.CamScannerLite,1
Weather,com.apalonapps.wlf,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Plane,uk.co.leeus.planefinderfree,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Adobe,com.adobe.post,1
IPTV,com.iptv.player,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Brain,com.unicostudio.braintest,2
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Question.AI,com.qianfan.aihomework,1
TuneIn,com.alexanderben.RadioIn,1
,com.intsig.CamScannerLite,1
Diamond,com.mcdiamondfinder.app,1
,com.intsig.CamScannerLite,1
Filmic,com.cinegenix.filmic.pro,1
,com.intsig.CamScannerLite,1
HabitKit,com.roehl.habitkit,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
30,com.vigorapps.30DayFitness,1
,com.intsig.CamScannerLite,1
IPTVExpert,com.iptv.player,1
TuneInRadio,com.alexanderben.RadioIn,1
VEED,io.veed.appstore,1
YouTubeMusic,com.google.ios.youtubemusic,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
ColoringBook,com.apalonapps.clrbook,1
,com.intsig.CamScannerLite,1
SnapEdit,com.sfun.snapedit,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
VEEDCaptions,io.veed.appstore,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Offline,com.offlinemusic,1
,com.intsig.CamScannerLite,1
Scanner,com.apalonapps.pdffree,1
,com.intsig.CamScannerLite,1
ScannerforMe,com.apalonapps.pdffree,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Alight,com.alightcreative.motion,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
Background,com.flyingnayeem.nmVideoMergerJune,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
NeoServer,com.neo.NeoMan,1
Rise,com.risesci.nyx,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
BHTikTokPlus,com.zhiliaoapp.musically,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
APEXRacer,com.pixeldev.APEXRacers,2
,com.intsig.CamScannerLite,1
OfflineGames,com.JindoBlu.OfflineGamesIOS,2
,com.intsig.CamScannerLite,1
AdobeFresco,com.adobe.fresco.ios,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
EndZoneDefendandSurvive,com.jiujiu.zombiedefense,2
,com.intsig.CamScannerLite,1
,com.madarsoft.fitness,1
LoFiCam,com.paha.LoFiCam,1
,com.madarsoft.fitness,1
,com.madarsoft.fitness,1
,com.madarsoft.fitness,1
SixPackAbsAbsWorkout,com.abishkking.sixpack,1
,com.madarsoft.fitness,1
,com.madarsoft.fitness,1
SkyGuide,com.fifthstarlabs.skyguide,1
,com.madarsoft.fitness,1
,com.madarsoft.fitness,1
RashaqaWorkout,com.madarsoft.fitness,1
,com.intsig.CamScannerLite,1
GOWOD,eu.gowod,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
KineMaster,com.kinemaster.kios,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
swipewipe,com.aoklab.fewerphotos,1
,com.intsig.CamScannerLite,1
SHRED,com.shred.shredlabs,1
,com.intsig.CamScannerLite,1
audiomack,com.audiomack.iphone,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
MyFitnessPal,com.myfitnesspal.mfp,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.AppChief.ArabicArt,1
iLovePDF,com.ilovepdf.www,1
,com.AppChief.ArabicArt,1
,com.AppChief.ArabicArt,1
AndalusiDesign,com.AppChief.ArabicArt,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
VivaCut,com.vivacut.videoeditor,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
BlockBlast,com.blockpuzzle.us.ios,2
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
QrCode,com.internet-rocks.codescanner,1
,com.intsig.CamScannerLite,1
MonokaiToolkitPro,com.monokaitoolkit.pro,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
SAOVS,jp.co.bandainamcoent.BNEI0409,2
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
AgeofMagic,com.playkot.ageofmagic,2
,com.intsig.CamScannerLite,1
AppGroupCheck,com.choco.appgroupcheck,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
PicsArt,com.picsart.studio,1
,com.intsig.CamScannerLite,1
,com.intsig.CamScannerLite,1
